Z,Yc,omegaYc,T,N2,AR,C7H16,O2,CO2,H2O
-0.000000,0.000000,0.000000,800.000000,0.754253,0.013790,-0.000000,0.231957,0.000000,0.000000
-0.000000,0.000000,0.000000,800.000000,0.754253,0.013790,-0.000000,0.231957,0.000000,0.000000
-0.000000,0.000000,0.000000,800.000000,0.754253,0.013790,-0.000000,0.231957,0.000000,0.000000
-0.000000,0.000000,0.000000,800.000000,0.754253,0.013790,-0.000000,0.231957,0.000000,0.000000
-0.000000,0.000000,0.000000,800.000000,0.754253,0.013790,-0.000000,0.231957,0.000000,0.000000
-0.000000,0.000000,0.000000,800.000000,0.754253,0.013790,-0.000000,0.231957,0.000000,0.000000
-0.000000,0.000000,0.000000,800.000000,0.754253,0.013790,-0.000000,0.231957,0.000000,0.000000
-0.000000,0.000000,0.000000,800.000000,0.754253,0.013790,-0.000000,0.231957,0.000000,0.000000
0.000000,0.000000,0.000000,800.000000,0.754253,0.013790,-0.000000,0.231957,0.000000,0.000000
0.000000,0.000000,0.000000,800.000000,0.754253,0.013790,-0.000000,0.231957,0.000000,0.000000
0.000000,0.000000,0.000000,800.000000,0.754253,0.013790,-0.000000,0.231957,0.000000,0.000000
0.000000,0.000000,0.000000,800.000003,0.754253,0.013790,-0.000000,0.231957,0.000000,0.000000
0.000000,0.000000,0.000000,800.000105,0.754253,0.013790,-0.000000,0.231957,0.000000,0.000000
0.000000,0.000000,0.000000,800.003207,0.754253,0.013790,-0.000000,0.231957,0.000000,0.000000
0.000001,0.000003,0.000000,800.031025,0.754252,0.013790,-0.000000,0.231955,0.000002,0.000001
0.000007,0.000033,0.000000,800.323544,0.754247,0.013789,-0.000000,0.231930,0.000022,0.000011
0.000030,0.000134,0.000000,801.314267,0.754231,0.013789,-0.000000,0.231846,0.000091,0.000043
0.000128,0.000578,0.000000,805.652592,0.754156,0.013788,-0.000000,0.231478,0.000394,0.000184
0.000514,0.002321,0.000000,822.489281,0.753865,0.013782,-0.000000,0.230031,0.001581,0.000740
0.001059,0.004777,0.000000,845.867749,0.753454,0.013775,-0.000000,0.227993,0.003255,0.001523
0.002191,0.009889,0.000000,893.148959,0.752600,0.013759,-0.000000,0.223751,0.006737,0.003152
0.004381,0.019771,0.000000,980.336503,0.750948,0.013729,-0.000000,0.215552,0.013469,0.006301
0.008243,0.037199,0.000000,1124.575939,0.748036,0.013676,-0.000000,0.201090,0.025343,0.011856
0.010959,0.049455,0.000000,1223.952766,0.745987,0.013638,-0.000000,0.190920,0.033693,0.015762
0.014342,0.064720,0.000000,1343.420100,0.743436,0.013592,-0.000000,0.178252,0.044093,0.020628
0.018428,0.083159,0.000000,1482.401653,0.740354,0.013535,-0.000000,0.162952,0.056655,0.026504
0.023228,0.104707,4.609565,1638.619828,0.736733,0.013469,0.000025,0.145065,0.071335,0.033372
0.028731,0.127570,10.102982,1797.730215,0.732583,0.013393,0.000462,0.125992,0.086911,0.040659
0.034945,0.149584,13.584856,1943.782198,0.727896,0.013308,0.001798,0.107415,0.101909,0.047675
0.041919,0.169418,15.035792,2067.410655,0.722635,0.013212,0.004377,0.090359,0.115421,0.053997
0.045670,0.178144,15.127647,2119.091712,0.719806,0.013160,0.006194,0.082696,0.121366,0.056778
0.047622,0.182202,15.049394,2142.291982,0.718334,0.013133,0.007246,0.079085,0.124130,0.058071
0.049634,0.186071,14.899611,2163.718126,0.716816,0.013105,0.008402,0.075606,0.126767,0.059305
0.051712,0.189752,14.687032,2183.375503,0.715249,0.013076,0.009663,0.072259,0.129274,0.060478
0.053856,0.193243,14.420266,2201.276790,0.713632,0.013047,0.011034,0.069044,0.131653,0.061590
0.058373,0.199691,13.751310,2231.899869,0.710225,0.012985,0.014122,0.062977,0.136046,0.063646
0.063187,0.205413,12.954271,2255.872999,0.706594,0.012918,0.017668,0.057407,0.139944,0.065469
0.068322,0.210432,12.080321,2273.451009,0.702720,0.012847,0.021691,0.052309,0.143363,0.067069
0.079714,0.218494,10.249898,2290.356226,0.694129,0.012690,0.031296,0.043391,0.148855,0.069638
0.092717,0.224163,8.467586,2285.621878,0.684321,0.012511,0.043043,0.035962,0.152718,0.071445
0.166263,0.224266,3.734221,2065.724926,0.628848,0.011497,0.116567,0.018822,0.152788,0.071478
0.222182,0.214245,2.212680,1873.523950,0.586671,0.010726,0.174706,0.013652,0.145961,0.068284
0.299513,0.195662,1.189221,1626.491341,0.528344,0.009659,0.256155,0.010179,0.133301,0.062361
0.350377,0.182300,0.801679,1485.458169,0.489980,0.008958,0.309980,0.008782,0.124197,0.058103
0.411454,0.165672,0.490630,1333.495965,0.443913,0.008116,0.374742,0.007558,0.112869,0.052803
0.484381,0.145406,0.255440,1172.789351,0.388907,0.007110,0.452160,0.006417,0.099062,0.046344
0.569954,0.121377,0.101603,1006.812893,0.324364,0.005930,0.543057,0.005272,0.082692,0.038685
0.665919,0.094317,0.026001,840.894941,0.251982,0.004607,0.645018,0.004076,0.064256,0.030061
